Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NFO,46062,1000,JSWENERGY,JSWENERGY25NOV25C800,25-NOV-2025,OPTSTK,CE,800,0.05,
NFO,46061,1000,JSWENERGY,JSWENERGY28OCT25P690,28-OCT-2025,OPTSTK,PE,690,0.05,
NFO,46060,1000,JSWENERGY,JSWENERGY28OCT25C690,28-OCT-2025,OPTSTK,CE,690,0.05,
NFO,46059,1000,JSWENERGY,JSWENERGY30SEP25P690,30-SEP-2025,OPTSTK,PE,690,0.05,
NFO,46058,1000,JSWENERGY,JSWENERGY30SEP25C690,30-SEP-2025,OPTSTK,CE,690,0.05,
NFO,46057,625,JINDALSTEL,JINDALSTEL28OCT25P1480,28-OCT-2025,OPTSTK,PE,1480,0.05,
NFO,46056,625,JINDALSTEL,JINDALSTEL28OCT25C1480,28-OCT-2025,OPTSTK,CE,1480,0.05,
NFO,46055,625,JINDALSTEL,JINDALSTEL30SEP25P1480,30-SEP-2025,OPTSTK,PE,1480,0.05,
NFO,46054,625,JINDALSTEL,JINDALSTEL30SEP25C1480,30-SEP-2025,OPTSTK,CE,1480,0.05,
NFO,46053,300,HINDUNILVR,HINDUNILVR30SEP25P3520,30-SEP-2025,OPTSTK,PE,3520,0.05,
NFO,46052,300,HINDUNILVR,HINDUNILVR30SEP25C3520,30-SEP-2025,OPTSTK,CE,3520,0.05,
NFO,46051,700,ICICIBANK,ICICIBANK25NOV25P2040,25-NOV-2025,OPTSTK,PE,2040,0.05,
NFO,46050,700,ICICIBANK,ICICIBANK25NOV25C2040,25-NOV-2025,OPTSTK,CE,2040,0.05,
NFO,46049,6450,HFCL,HFCL28OCT25P107.5,28-OCT-2025,OPTSTK,PE,107.5,0.05,
NFO,46048,6450,HFCL,HFCL28OCT25C107.5,28-OCT-2025,OPTSTK,CE,107.5,0.05,
NFO,46047,6450,HFCL,HFCL30SEP25P107.5,30-SEP-2025,OPTSTK,PE,107.5,0.05,
NFO,46046,6450,HFCL,HFCL30SEP25C107.5,30-SEP-2025,OPTSTK,CE,107.5,0.05,
NFO,46045,350,HCLTECH,HCLTECH25NOV25P2240,25-NOV-2025,OPTSTK,PE,2240,0.05,
NFO,46044,25,NIFTYNXT50,NIFTYNXT5028OCT25P98000,28-OCT-2025,OPTIDX,PE,98000,0.05,
NFO,46043,25,NIFTYNXT50,NIFTYNXT5028OCT25C98000,28-OCT-2025,OPTIDX,CE,98000,0.05,
NFO,46042,25,NIFTYNXT50,NIFTYNXT5028OCT25P79900,28-OCT-2025,OPTIDX,PE,79900,0.05,
NFO,46041,350,HCLTECH,HCLTECH25NOV25C2240,25-NOV-2025,OPTSTK,CE,2240,0.05,
NFO,46040,350,HCLTECH,HCLTECH28OCT25P2020,28-OCT-2025,OPTSTK,PE,2020,0.05,
NFO,46039,25,NIFTYNXT50,NIFTYNXT5028OCT25C79900,28-OCT-2025,OPTIDX,CE,79900,0.05,
NFO,46038,25,NIFTYNXT50,NIFTYNXT5028OCT25P79800,28-OCT-2025,OPTIDX,PE,79800,0.05,
NFO,46037,150,HEROMOTOCO,HEROMOTOCO30SEP25P5700,30-SEP-2025,OPTSTK,PE,5700,0.05,
NFO,46036,150,HEROMOTOCO,HEROMOTOCO30SEP25C5700,30-SEP-2025,OPTSTK,CE,5700,0.05,
NFO,46035,75,NIFTY,NIFTY26DEC28P38000,26-DEC-2028,OPTIDX,PE,38000,0.05,
NFO,46034,75,NIFTY,NIFTY26DEC28C38000,26-DEC-2028,OPTIDX,CE,38000,0.05,
NFO,46033,350,HCLTECH,HCLTECH28OCT25C2020,28-OCT-2025,OPTSTK,CE,2020,0.05,
NFO,46032,75,NIFTY,NIFTY26DEC28P37000,26-DEC-2028,OPTIDX,PE,37000,0.05,
NFO,46031,350,HCLTECH,HCLTECH30SEP25P2020,30-SEP-2025,OPTSTK,PE,2020,0.05,
NFO,46030,25,NIFTYNXT50,NIFTYNXT5028OCT25C79800,28-OCT-2025,OPTIDX,CE,79800,0.05,
NFO,46029,25,NIFTYNXT50,NIFTYNXT5028OCT25P79700,28-OCT-2025,OPTIDX,PE,79700,0.05,
NFO,46028,25,NIFTYNXT50,NIFTYNXT5028OCT25C79700,28-OCT-2025,OPTIDX,CE,79700,0.05,
NFO,46027,25,NIFTYNXT50,NIFTYNXT5028OCT25P79600,28-OCT-2025,OPTIDX,PE,79600,0.05,
NFO,46026,350,HCLTECH,HCLTECH30SEP25C2020,30-SEP-2025,OPTSTK,CE,2020,0.05,
NFO,46025,500,HAVELLS,HAVELLS28OCT25P2100,28-OCT-2025,OPTSTK,PE,2100,0.05,
NFO,46024,25,NIFTYNXT50,NIFTYNXT5028OCT25C79600,28-OCT-2025,OPTIDX,CE,79600,0.05,
NFO,46023,75,NIFTY,NIFTY28OCT25P30250,28-OCT-2025,OPTIDX,PE,30250,0.05,
NFO,46022,75,NIFTY,NIFTY26DEC28C37000,26-DEC-2028,OPTIDX,CE,37000,0.05,
NFO,46021,75,NIFTY,NIFTY26DEC28P36000,26-DEC-2028,OPTIDX,PE,36000,0.05,
NFO,46020,75,NIFTY,NIFTY26DEC28C36000,26-DEC-2028,OPTIDX,CE,36000,0.05,
